date,project_url,current_amount,target_amount,achievement_rate,supporters,days_left,daily_amount,daily_supporters,daily_average_amount
2026-07-01,https://camp-fire.jp/projects/955763,21928743,10000000,219,331,29,0,0,0
2026-07-01,https://camp-fire.jp/projects/948718,3989000,3000000,132,136,49,0,0,0
2026-07-01,https://camp-fire.jp/projects/956996,1354800,500000,270,54,42,0,0,0
2026-07-01,https://camp-fire.jp/projects/938789,1447050,500000,289,180,28,0,0,0
2026-07-01,https://camp-fire.jp/projects/946985,4972798,2000000,100,1164,10,0,0,0
2026-07-01,https://camp-fire.jp/projects/939045,941000,2000000,47,54,29,0,0,0
2026-07-01,https://camp-fire.jp/projects/899212,1861900,1000000,186,71,31,0,0,0
2026-07-01,https://camp-fire.jp/projects/932844,4682000,1000000,468,33,29,0,0,0
2026-07-01,https://camp-fire.jp/projects/941945,2697127,5000000,53,311,36,0,0,0
2026-07-01,https://camp-fire.jp/projects/947260,45921698,50000000,100,2156,59,0,0,0
2026-07-01,https://camp-fire.jp/projects/956315,1467000,8630000,16,145,13,0,0,0
2026-07-01,https://camp-fire.jp/projects/947613,1365000,3000000,45,64,29,0,0,0
2026-07-01,https://camp-fire.jp/projects/945102,11556500,15000000,77,247,13,0,0,0
2026-07-01,https://camp-fire.jp/projects/948495,16115970,6000000,268,1813,15,0,0,0
2026-07-01,https://camp-fire.jp/projects/961508,425000,5000000,8,11,60,0,0,0
2026-07-01,https://camp-fire.jp/projects/941714,795500,7000000,11,16,60,0,0,0
2026-07-01,https://camp-fire.jp/projects/951732,31243888,10000000,312,3221,6,0,0,0
2026-07-01,https://camp-fire.jp/projects/959945,406612,1500000,27,34,38,0,0,0
2026-07-01,https://camp-fire.jp/projects/932725,597000,700000,100,60,29,0,0,0
2026-07-01,https://camp-fire.jp/projects/960887,1024000,3500000,29,23,45,0,0,0
2026-07-01,https://camp-fire.jp/projects/944437,457000,1000000,45,38,36,0,0,0
2026-07-01,https://camp-fire.jp/projects/912590,2484400,3000000,82,80,29,0,0,0
2026-07-01,https://camp-fire.jp/projects/923013,6003100,7000000,100,338,21,0,0,0
2026-07-01,https://camp-fire.jp/projects/961976,296500,1000000,29,11,33,0,0,0
2026-07-01,https://camp-fire.jp/projects/942016,379900,300000,126,42,29,0,0,0
2026-07-01,https://camp-fire.jp/projects/956191,4721000,1500000,314,135,58,0,0,0
2026-07-01,https://camp-fire.jp/projects/954116,555500,1000000,100,102,60,0,0,0
2026-07-01,https://camp-fire.jp/projects/938723,578500,3000000,19,45,71,0,0,0
2026-07-01,https://camp-fire.jp/projects/955031,178250,10000,1782,18,60,0,0,0
2026-07-01,https://camp-fire.jp/projects/955058,129200,1000000,12,15,29,0,0,0
2026-07-01,https://camp-fire.jp/projects/947879,1310500,1000000,131,74,4,0,0,0
2026-07-01,https://camp-fire.jp/projects/922769,12924240,15000000,100,143,4,0,0,0
2026-07-01,https://camp-fire.jp/projects/943284,3161000,5555000,56,160,44,0,0,0
2026-07-01,https://camp-fire.jp/projects/912336,2431000,3000000,81,140,16,0,0,0
2026-07-01,https://camp-fire.jp/projects/952124,600000,1300000,46,22,29,0,0,0
2026-07-01,https://camp-fire.jp/projects/955945,2220810,1000000,222,50,19,0,0,0
2026-07-01,https://camp-fire.jp/projects/946538,6468777,4000000,100,972,13,0,0,0
2026-07-01,https://camp-fire.jp/projects/957206,860000,3000000,28,23,77,0,0,0
2026-07-01,https://camp-fire.jp/projects/959418,6466450,1500000,431,255,11,0,0,0
2026-07-01,https://camp-fire.jp/projects/959267,121000,2200000,5,4,60,0,0,0
2026-07-01,https://camp-fire.jp/projects/943374,1052000,2000000,52,9,56,0,0,0
2026-07-01,https://camp-fire.jp/projects/927553,1540030,1500000,100,104,1,0,0,0
2026-07-01,https://camp-fire.jp/projects/949874,443000,2000000,22,49,29,0,0,0
2026-07-01,https://camp-fire.jp/projects/951872,8008274,1000000,800,586,24,0,0,0
2026-07-01,https://camp-fire.jp/projects/876780,628000,3000000,20,62,8,0,0,0
2026-07-01,https://camp-fire.jp/projects/920933,4260000,7000000,60,150,3,0,0,0
2026-07-01,https://camp-fire.jp/projects/940720,14709203,15000000,100,570,45,0,0,0
2026-07-01,https://camp-fire.jp/projects/959119,1148000,1000000,114,45,1,0,0,0
2026-07-01,https://camp-fire.jp/projects/942033,2885000,3000000,96,167,13,0,0,0
2026-07-01,https://camp-fire.jp/projects/930862,1839888,5000000,36,86,14,0,0,0
2026-07-01,https://camp-fire.jp/projects/952674,1569831,1000000,156,58,3,0,0,0
2026-07-01,https://camp-fire.jp/projects/935160,945000,1000000,94,47,24,0,0,0
2026-07-01,https://camp-fire.jp/projects/936613,1275000,1000000,127,79,4,0,0,0
2026-07-01,https://camp-fire.jp/projects/962909,307801,1000000,30,21,27,0,0,0
2026-07-01,https://camp-fire.jp/projects/911265,235000,1000000,23,6,60,0,0,0
2026-07-01,https://camp-fire.jp/projects/933807,289000,2000000,14,20,60,0,0,0
2026-07-01,https://camp-fire.jp/projects/962229,433000,1000000,43,54,20,0,0,0
2026-07-01,https://camp-fire.jp/projects/949286,1844500,2000000,92,104,19,0,0,0
2026-07-01,https://camp-fire.jp/projects/959014,2944450,100000,2944,518,29,0,0,0
2026-07-01,https://camp-fire.jp/projects/961938,168740,200000,84,13,29,0,0,0
2026-07-01,https://camp-fire.jp/projects/944472,250000,300000,83,18,29,0,0,0
2026-07-01,https://camp-fire.jp/projects/957275,502000,300000,167,87,29,0,0,0
2026-07-01,https://camp-fire.jp/projects/930280,2766250,3000000,92,208,3,0,0,0
2026-07-01,https://camp-fire.jp/projects/936838,303760,100000,303,58,60,0,0,0
2026-07-01,https://camp-fire.jp/projects/952453,2397550,12000000,19,283,29,0,0,0
2026-07-01,https://camp-fire.jp/projects/949194,160000,500000,32,25,60,0,0,0
2026-07-01,https://camp-fire.jp/projects/942111,204750,300000,68,26,17,0,0,0
2026-07-01,https://camp-fire.jp/projects/959707,425000,3000000,14,22,43,0,0,0
2026-07-01,https://camp-fire.jp/projects/947538,1151277,1200000,95,114,3,0,0,0
2026-07-01,https://camp-fire.jp/projects/945913,561000,1000000,56,15,29,0,0,0
2026-07-01,https://camp-fire.jp/projects/954779,405000,1500000,100,9,29,0,0,0
2026-07-01,https://camp-fire.jp/projects/869250,3404810,5000000,68,222,29,0,0,0
2026-07-01,https://camp-fire.jp/projects/952450,1151530,100000,1151,219,5,0,0,0
2026-07-01,https://camp-fire.jp/projects/947647,136000,400000,34,11,29,0,0,0
2026-07-01,https://camp-fire.jp/projects/959411,678000,1000000,67,37,29,0,0,0
2026-07-01,https://camp-fire.jp/projects/952943,1197850,1000000,119,114,3,0,0,0
2026-07-01,https://camp-fire.jp/projects/923731,1158800,2000000,57,148,1,0,0,0
2026-07-01,https://camp-fire.jp/projects/958000,224055,500000,44,28,33,0,0,0
2026-07-01,https://camp-fire.jp/projects/936867,1108500,3000000,36,50,29,0,0,0
2026-07-01,https://camp-fire.jp/projects/927998,963600,1000000,100,11,29,0,0,0
2026-07-01,https://camp-fire.jp/projects/912891,3948366,4800000,100,199,10,0,0,0
2026-07-01,https://camp-fire.jp/projects/937124,13484344,14000000,100,484,31,0,0,0
2026-07-01,https://camp-fire.jp/projects/962081,111000,1000000,11,26,26,0,0,0
2026-07-01,https://camp-fire.jp/projects/932911,200000,4000000,5,1,43,0,0,0
2026-07-01,https://camp-fire.jp/projects/958305,399000,1500000,26,47,60,0,0,0
2026-07-01,https://camp-fire.jp/projects/960516,509555,1000000,50,27,16,0,0,0
2026-07-01,https://camp-fire.jp/projects/934687,1035300,1700000,60,172,5,0,0,0
2026-07-01,https://camp-fire.jp/projects/941253,925110,800000,100,51,29,0,0,0
2026-07-01,https://camp-fire.jp/projects/960952,115000,2000000,5,3,60,0,0,0
2026-07-01,https://camp-fire.jp/projects/940111,230666,20000000,1,10,76,0,0,0
2026-07-01,https://camp-fire.jp/projects/958996,191000,1000000,19,22,13,0,0,0
2026-07-01,https://camp-fire.jp/projects/959445,739000,38000000,1,46,60,0,0,0
2026-07-01,https://camp-fire.jp/projects/945844,164000,3000000,5,9,50,0,0,0
2026-07-01,https://camp-fire.jp/projects/944677,2209000,3000000,73,114,29,0,0,0
2026-07-01,https://camp-fire.jp/projects/939104,127000,1000000,12,12,50,0,0,0
2026-07-01,https://camp-fire.jp/projects/962175,241000,2000000,12,51,44,0,0,0
2026-07-01,https://camp-fire.jp/projects/934438,156000,1000000,15,2,60,0,0,0
2026-07-01,https://camp-fire.jp/projects/958169,511840,100000,511,64,21,0,0,0
2026-07-01,https://camp-fire.jp/projects/912845,1821500,3000000,60,160,1,0,0,0
2026-07-01,https://camp-fire.jp/projects/958819,113960,100000,113,24,45,0,0,0
